as_of,nominee_price,nominee_fair_median,nominee_fair_p10,nominee_fair_p90,nominee_verdict,president_price,president_fair_median,president_fair_p10,president_fair_p90,president_verdict
2026-08-18,0.1565,0.1556030610422646,0.1099809727069301,0.3701486855937763,FAIR,0.0805,0.0922908746242633,0.055168896888474,0.2107252186942927,FAIR
2026-08-19,0.1565,0.1556030610422646,0.1099809727069301,0.3701486855937763,FAIR,0.087,0.0950745924122302,0.0581071240785241,0.2192591577970757,FAIR
2026-08-20,0.1525,0.1527348565827055,0.1064652571866656,0.3701486855937763,FAIR,0.0875,0.0946009471550983,0.0574481008964193,0.2227712558079508,FAIR
2026-08-21,0.1505,0.1513606434447152,0.1047078749762514,0.3701486855937763,FAIR,0.0835,0.0925325240494356,0.0553791526161086,0.2190795811031219,FAIR
2026-08-22,0.1505,0.1513606434447152,0.1047078749762514,0.3701486855937763,FAIR,0.0825,0.0920982886126374,0.054943930888888,0.2177344014923001,FAIR
2026-08-23,0.1505,0.1513606434447152,0.1047078749762514,0.3701486855937763,FAIR,0.0815,0.0916877574026051,0.0545098751567902,0.2162801146493726,FAIR
2026-08-24,0.1485,0.149956339783149,0.1029458490578379,0.3701486855937763,FAIR,0.0865,0.093456049865025,0.0561418303083493,0.2246644250881785,FAIR
2026-08-25,0.1435,0.1464117748106749,0.0985676534872433,0.3701486855937763,FAIR,0.087,0.0928360005962158,0.055068549621928,0.2296042993681031,FAIR
2026-08-26,0.1435,0.1464117748106749,0.0985676534872433,0.3701486855937763,FAIR,0.089,0.0937419179219115,0.055741564760915,0.2325739681528039,FAIR
2026-08-27,0.1465,0.1485385760946633,0.10119274835783024,0.3701486855937763,FAIR,0.0865,0.09312856932129458,0.05568859215721837,0.22633149752401494,FAIR
